OTM70_ZoneID,Population_Scn1
594.0,960.09
595.0,315.34
596.0,233.64
597.0,167.94
598.0,733.95
599.0,293.98
600.0,157.67
601.0,1978.81
602.0,932.65
603.0,231.93
604.0,228.88
605.0,196.25
607.0,1912.0
608.0,2624.5
610.0,1152.51
611.0,575.72
612.0,2062.04
613.0,40.69
614.0,2693.58
615.0,124.14
616.0,599.99
618.0,326.24
619.0,108.81
620.0,149.48000000000002
621.0,157.63
622.0,131.19
623.0,329.49
624.0,50.85
625.0,4648.08
626.0,643.49
627.0,156.61
628.0,1743.89
629.0,1198.41
630.0,217.63
634.0,1705.11
635.0,110.85
636.0,1814.22
637.0,654.6899999999999
638.0,111.86
639.0,518.78
640.0,129.55
641.0,2051.99
642.0,92.96
643.0,65.33
644.0,872.0699999999999
645.0,1897.86
646.0,187.9
647.0,136.53
649.0,1056.86
650.0,644.81
651.0,239.33
652.0,358.32
653.0,282.84000000000003
654.0,467.75
655.0,1772.1699999999998
658.0,402.5
659.0,1190.16
660.0,479.17
661.0,690.97
662.0,450.29
663.0,1290.36
664.0,859.69
665.0,2718.42
666.0,415.9500000000001
668.0,79.34
669.0,8349.560000000001
670.0,1277.47
671.0,273.74
672.0,2405.9
673.0,1967.75
674.0,1753.84
675.0,2108.72
676.0,733.19
677.0,736.86
678.0,3810.07
679.0,1528.75
680.0,4155.76
681.0,5835.97
682.0,408.49
683.0,442.59
684.0,180.96
685.0,1009.03
686.0,1098.9
687.0,2235.86
688.0,586.78
689.0,2431.64
690.0,2895.32
691.0,209.83
692.0,1632.34
693.0,1041.41
694.0,996.42
695.0,670.46
696.0,291.22
697.0,529.91
698.0,2495.06
699.0,246.51
700.0,203.57
701.0,164.04
702.0,2474.89
703.0,1491.71
704.0,3445.32
705.0,2449.46
706.0,116.97
707.0,966.11
708.0,506.42
709.0,388.33
710.0,251.4
711.0,144.78
712.0,391.93
713.0,284.66
714.0,4698.75
715.0,169.3
716.0,330.38
717.0,130.31
718.0,94.89
719.0,180.58
720.0,169.24
721.0,255.48
722.0,138.91
723.0,220.6
725.0,179.91
726.0,64.64
727.0,240.64
728.0,198.02
730.0,418.62
731.0,203.25
732.0,70.02
733.0,142.62
734.0,323.85
735.0,1046.46
737.0,3721.68
738.0,1375.94
739.0,246.49
740.0,1822.04
741.0,3064.4700000000003
742.0,130.53
743.0,295.67
744.0,2772.6400000000003
745.0,346.08
746.0,2104.28
747.0,168.46
748.0,130.4
749.0,1489.2
751.0,268.41
752.0,512.07
753.0,146.56
754.0,204.79
755.0,1412.52
756.0,346.45
757.0,305.28
758.0,205.81
759.0,237.93
760.0,293.44
762.0,116.2
763.0,159.4
764.0,218.39
765.0,339.32
766.0,45.3
767.0,1528.31
768.0,174.71
769.0,130.97
770.0,138.8
771.0,111.28
772.0,500.95
773.0,932.04
774.0,193.15
775.0,280.51
776.0,192.02
777.0,2168.06
778.0,174.71
779.0,826.45
780.0,473.66
781.0,305.07
782.0,1165.7
783.0,1407.74
784.0,107.05
785.0,162.22
786.0,149.51999999999998
787.0,97.32
788.0,3804.05
790.0,1692.6
792.0,635.3399999999999
793.0,57.05
795.0,141.65
796.0,250.61
797.0,515.77
798.0,375.77
799.0,193.47
800.0,365.92
801.0,1596.95
802.0,614.93
803.0,1499.14
804.0,662.82
806.0,91.48
807.0,7835.39
809.0,1341.11
810.0,258.61
812.0,1100.5500000000002
813.0,4332.36
814.0,200.55
815.0,145.15
816.0,11433.85
817.0,211.59
818.0,136.9
819.0,380.65
820.0,267.08
821.0,19504.0
822.0,193.41
823.0,360.34
824.0,189.88
826.0,334.22
827.0,209.63
828.0,2825.8700000000003
829.0,226.98
830.0,4734.9
832.0,83.66
833.0,431.34
834.0,187.81
835.0,247.38
836.0,6740.0
837.0,56.44
838.0,212.65
839.0,424.29
840.0,58.56
841.0,119.07
843.0,900.5000000000001
845.0,1217.71
846.0,3698.04
847.0,183.1
849.0,162.25
850.0,1530.74
851.0,259.14
852.0,4878.1900000000005
853.0,4031.65
854.0,2581.01
855.0,603.6800000000001
856.0,1192.49
857.0,1526.42
858.0,3784.43
859.0,1989.5
860.0,1877.88
861.0,2455.62
862.0,3879.58
863.0,2079.8500000000004
864.0,4739.6
865.0,383.3
866.0,6443.97
867.0,3516.5200000000004
868.0,4234.1
869.0,2746.0
870.0,2118.18
871.0,1217.7
872.0,2650.84
873.0,6264.57
874.0,2064.03
875.0,4898.55
876.0,11379.79
878.0,3843.15
879.0,4720.07
880.0,1940.17
881.0,7051.03
882.0,3133.9
883.0,867.99
884.0,2330.75
886.0,5571.280000000001
887.0,1590.7
888.0,3093.18
890.0,4284.0
891.0,1396.72
892.0,957.51
893.0,2136.2200000000003
894.0,7416.0
895.0,708.8
896.0,547.59
897.0,984.08
898.0,1369.4299999999998
899.0,2161.3
900.0,5256.32
901.0,399.35
902.0,378.79
903.0,5266.33
904.0,461.75
905.0,742.73
906.0,1132.12
907.0,754.05
908.0,4245.54
909.0,2401.4300000000003
910.0,2077.16
911.0,2780.75
912.0,2614.2
913.0,1600.2
914.0,173.48
915.0,318.09000000000003
916.0,559.29
917.0,228.01
918.0,993.3
919.0,960.0
920.0,867.2
922.0,399.57
924.0,168.62
925.0,3446.38
926.0,134.06
927.0,797.4499999999999
929.0,390.1
930.0,43.62
931.0,225.8
932.0,5390.06
933.0,147.68
934.0,1679.31
935.0,214.81
936.0,373.08
937.0,306.15
938.0,866.9
939.0,633.45
940.0,964.64
942.0,428.02
943.0,103.35
944.0,18.52
946.0,101.4
947.0,369.51
948.0,252.51
949.0,309.07
950.0,967.16
952.0,2553.09
953.0,471.47
954.0,2379.6400000000003
955.0,120.54
956.0,925.4
957.0,391.26
958.0,16424.309999999998
959.0,431.43
961.0,494.09
962.0,1096.27
963.0,3790.81
964.0,260.68
965.0,1826.82
966.0,220.26
967.0,1817.16
969.0,9.0
970.0,3156.04
971.0,2563.2
973.0,3988.14
974.0,3366.74
975.0,1931.4
976.0,676.37
977.0,902.96
978.0,1667.85
979.0,572.0
980.0,999.05
981.0,672.36
982.0,701.51
983.0,3114.28
984.0,808.05
985.0,2786.0
986.0,1328.12
987.0,1064.88
988.0,1016.77
989.0,2022.96
991.0,198.66
992.0,2249.23
993.0,681.08
995.0,395.59
996.0,543.28
998.0,1630.06
999.0,17712.69
1000.0,1963.02
1001.0,262.69
1002.0,1667.16
1003.0,605.33
1004.0,3402.45
1005.0,596.14
1007.0,4114.950000000001
1008.0,1584.94
1009.0,509.46
1010.0,1089.44
1012.0,1178.8
1013.0,10353.3
1014.0,194.99
1015.0,1377.39
1016.0,2081.86
1017.0,183.4
1018.0,510.14
1020.0,1036.86
1021.0,315.41
1024.0,690.2199999999999
1025.0,4016.2
1026.0,196.92
1027.0,600.17
1028.0,469.53
1029.0,95.56
1030.0,488.99
1031.0,879.71
1032.0,759.36
1033.0,174.4
1034.0,111.8
1035.0,6886.08
1036.0,83.36
1037.0,334.36
1038.0,348.04999999999995
1039.0,1103.5
1040.0,171.3
1041.0,90.71
1043.0,1175.7
1044.0,277.4
1045.0,142.47
1046.0,62.95
1047.0,392.89
1048.0,418.77
1049.0,125.52
1050.0,166.65
1051.0,91.05
1052.0,270.37
1053.0,522.17
1054.0,387.99
1055.0,243.65
1056.0,95.01
1057.0,526.34
1058.0,56.96
1059.0,167.41
1060.0,243.66000000000005
1061.0,127.96
1062.0,891.67
1063.0,553.78
1064.0,402.45
1065.0,75.95
1066.0,183.57
1068.0,153.99
1070.0,114.84
1072.0,219.7
1073.0,350.85
1074.0,255.4
1075.0,105.17
1077.0,1208.35
1078.0,508.65
1080.0,930.0
1081.0,317.22
1082.0,2803.61
1083.0,3512.58
1085.0,2406.49
1086.0,3491.2200000000003
1087.0,1881.5
1088.0,1565.0
1089.0,15791.4
1092.0,1755.49
1093.0,2323.96
1094.0,1143.24
1095.0,1101.05
1096.0,533.2
1097.0,14173.95
1098.0,5805.64
1099.0,612.3000000000001
1100.0,894.52
1101.0,598.56
1102.0,572.51
1103.0,662.1
1104.0,770.36
1105.0,770.6800000000001
1106.0,1914.04
1107.0,2005.83
1109.0,910.26
1110.0,2643.8
1111.0,5030.62
1112.0,6633.14
1113.0,2696.1
1114.0,1440.33
1115.0,877.29
1116.0,3014.46
1117.0,8001.900000000001
1118.0,1252.09
1119.0,3757.37
1120.0,8379.34
1121.0,3404.13
1124.0,1035.36
1125.0,505.5400000000001
1126.0,4185.38
1127.0,129.55
1128.0,4905.52
1129.0,140.35
1130.0,4032.68
1131.0,156.91
1133.0,430.78
1134.0,3525.18
1135.0,192.9
1136.0,1390.52
1137.0,152.92
1138.0,4401.0
1139.0,45.35
1140.0,129.94
1141.0,111.94
1142.0,812.58
1143.0,508.27
1144.0,941.07
1145.0,138.15
1146.0,1144.29
1147.0,391.8
1150.0,559.44
1151.0,523.4
1152.0,866.28
1153.0,152.09
1154.0,931.06
1155.0,126.06
1156.0,29.74
1157.0,51.43
1158.0,97.17
1159.0,82.38
1160.0,100.49
1161.0,109.02
1162.0,2773.4300000000003
1163.0,1426.9699999999998
1164.0,142.53
1165.0,97.17
1166.0,157.69
1168.0,916.97
1169.0,70.77
1170.0,151.85
1171.0,68.65
1172.0,105.62
1174.0,92.29
1176.0,434.15
1177.0,129.04
1178.0,119.36
1179.0,177.39
1180.0,150.54
1181.0,140.17000000000002
1182.0,5504.0
1183.0,204.9
1184.0,588.3199999999999
1185.0,75.88
1186.0,293.01
1187.0,1322.0
1188.0,411.19000000000005
1189.0,115.36
1190.0,374.42
1191.0,2243.3
1192.0,927.16
1193.0,84.08
1195.0,74.3
1196.0,665.01
1198.0,108.4
1199.0,398.89
1200.0,99.71
1201.0,172.06
1202.0,27.33
1203.0,4696.24
1204.0,564.8100000000001
1205.0,893.5400000000001
1206.0,88.06
1207.0,45.55
1208.0,6508.0
1210.0,1843.97
1211.0,74.9
1213.0,42.510000000000005
1214.0,120.45
1215.0,255.06
1216.0,270.25
1217.0,8046.0
1219.0,368.44
1220.0,93.12
1222.0,322.88
1223.0,24324.75
1227.0,6987.12
1228.0,0.0
1230.0,9731.16
1231.0,3525.5
1232.0,1416.19
1233.0,2037.85
1234.0,21469.81
1235.0,2482.76
1236.0,1822.35
1237.0,2140.12
1238.0,2252.36
1239.0,7701.47
1240.0,8734.300000000001
1241.0,3452.0
1242.0,4785.77
1243.0,8252.64
