Year;MunicipalityID;zoneid;ZoneName;ZoneDescription;CountryCode;Area;BNP;JOBS;Population;Area_km2;Density;CPH_FRDB;Main_cities;MainC_and_HighDensAreas;HighDensAreas;East_GB;East_GB_NoBorholm
2020;741;741010;Samso N;Samso Kommune;DK;26326812;63785809.68;134.8006592;457.3625082;26.326812;17.37249874;0;0;0;0;0;0
2020;741;741020;Samso S;Samso Kommune;DK;88389192;913729979.3;1379.672974;3193.623258;88.389192;36.13137744;0;0;0;0;0;0
2020;746;746010;Galten;Skanderborg Kommune;DK;53700416;3093148439;4401.78125;10335.384;53.700416;192.4637604;0;0;0;0;0;0
2020;746;746020;Stjër;Skanderborg Kommune;DK;167698352;1415692449;2625.919922;9026.248;167.698352;53.8243095;0;0;0;0;0;0
2020;746;746030;Ry;Skanderborg Kommune;DK;6251499;1678448226;2743.39502;6247.84;6.251499;999.4147004;0;0;0;0;0;0
2020;746;746040;Gammel Rye;Skanderborg Kommune;DK;43821452;261974413.7;490.2833252;1877;43.821452;42.83290294;0;0;0;0;0;0
2020;746;746050;Horning;Skanderborg Kommune;DK;15838733;1841349563;2974.434326;8161.208;15.838733;515.2689928;0;0;0;0;0;0
2020;746;746060;Stiliing;Skanderborg Kommune;DK;7511736;2124557042;2596.139648;3964.664;7.511736;527.7959715;0;0;0;0;0;0
2020;746;746070;Skanderborg ost;Skanderborg Kommune;DK;6121091;2481405801;3291.72168;5517.44;6.121091;901.3817962;0;0;0;0;0;0
2020;746;746080;Skanderborg vest;Skanderborg Kommune;DK;11282589;2784683346;4692.631836;9923.56;11.282589;879.5463523;0;0;0;0;0;0
